siren,nom,adress_siege,code_postal_siege,code_NAF,activité
520615873,BERLINCOURT,18 RUE DENIS PAPIN,41000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
900725102,,148 GRAND RUE,67500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
879227817,,44 RES LES BEAUX LIEUX,95550,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
899440259,,47 RUE ZAMANTALE,97600,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
383930005,,60 RUE DE LA HALLE,17450,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
889478020,,19 RLE MLIMA DONGO,97650,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
903655082,,16 RUE BARDEAUX,97438,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
494111404,,23 PL DU CHAMP DE FOIRE,85600,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
882891732,,15 RUE DU BOCAGE BOURBONNAIS,03000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
910082619,,42 RUE PIERRE BROSSOLETTE,45400,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
429116858,BARDY SARL,28 RUE DE LA MADELEINE,30000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
398997445,,89 RUE LAURISTON,75116,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
907954879,,9 RUE DE STADE,97670,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
908288616,,87 AV DU MAINE,94510,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
484823877,SKS,CITE CENTRE CIAL LES EPIS,59450,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
492666193,B3F,23 RUE DU MOURIER,24100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
529282568,MILOUDI,5 RUE D ORFEUIL,28100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
908437569,,24 RUE MNADZI MOJA,97600,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
851148205,,13 AV DES CHAMPS LASNIERS,91940,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
421929431,,13 IMP PIERRE DUMAS,30128,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
525344701,,16 AV DE VALBOURDIN,83200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
895050755,,18 RUE DU MARCHE,97450,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
815223599,,3 PL DE LA CROIX ROUGE,59200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
632772588,,46 RUE MARECHAL FOCH,65000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
489217711,K ET A,44 RUE DES DAMES,75017,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
482452075,BHB,190 RUE DE L ABBAYE,62110,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
482866779,ODYSSEE,11 PL DE MIREMONT,38200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
491384186,SARL BLAISE,RTE DE PERROS GUIREC,22300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
900863036,,1 RUE DU GPE MELPOMENE,51000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
448954594,MANDOLINE,27 RUE DU COMMERCE,58200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
821246246,,10 RUE DE LA BUTTE LABATTE,91150,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
490134855,SARL A.T.I.E.,18 RUE DU CHATEAU D EAU,34350,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
914794318,,5 CONTOUR DE L EGLISE,59960,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
477671648,AMG,70 BD DE STRASBOURG,75010,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
827865007,,14 BD D AULNAY,93250,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
907880751,,108 RUE NATIONALE,45600,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
912844818,,2 RUE DE LA VIEILLE GRANGE,76200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
884717802,,9 RUE DES MESANGES,27730,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
889390332,,72 RTE DE LA POTERIE,61190,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
891575367,,RTE DE SOMMABERT,97160,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
514136357,LOMEJE,9 PL DES URSULES,42000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
327457537,SOCIETE JEAN-CLAUDE CHERRIER ET COMPAGNIE,17 AV DE LA MER,14390,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
512963851,ALTO BIS,41 BD DU JEU DE PAUME,34000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
514700137,BRODEZ VOTRE BONHEUR,36 AV DES BECQUEREL,44380,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
521271098,AL-QAIM,17 AV GAMBETTA,34500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
529741266,SOP,52 RUE DU DOCTEUR LOUIS MARCON,83150,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
810283309,LMDG LA MODE DE GAELLE,15 RUE CENTRALE,50340,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
817651151,DIELE & CO DISTRIBUTION,44 RUE GUYARD DELALAIN,93300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
830706461,TONIO,36 RUE DROITE,06300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
832439053,NSK SISTERS,8 RUE LAFON,13006,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
812773760,IWAG FRANCE,2 PL MARCHE SAINTE CATHERINE,75004,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
838117323,SY'BELLE LINGERIE,45 RUE DU PRE,39200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
838555100,AFRIQUE MARKET C,17 PL DES MAISONS NEUVES,69100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
849949730,DES FILLES ET CIE,RUE DE LA REPUBLIQUE,84390,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
552135915,SOCIETE DES TEXTILES G. GONNET,19 RUE D'ORSEL,75018,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
848187993,AM'BRE,30 AV DE LA RESISTANCE,93340,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
444488332,,97 RUE VICTOR HUGO,97200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803525773,SAS MAP ETIQUETTE,20 RUE DE L'ANCIEN COURRIER,11100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803290097,CENT SEIZE,116 AV DE LA REPUBLIQUE,91230,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803293869,F.M.E.,32 RUE PASTEUR,69720,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803307362,SL.DIFFUSION,21 RUE DU COMMERCE,69330,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
524399722,KAP-OPAL,1001 BD DU KENT,62231,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801923400,ULTIMATE,6 RUE BATTANT,25000,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803562891,MARIEE'VS,228 RUE JACQUES ANGE GABRIEL,56850,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803556489,H&CO,QUA DU VAL,14200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
800826232,SYNDROME,10 RUE XAVIER PROGIN,13004,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
800930216,VANDE'CLOTHES,476 RUE JEAN JAURES,59860,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
800932121,BOUTIQUE DELORD,46 RUE FRANCOIS ARAGO,97300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
479448888,NOIR EMOI,31 RUE DES FRERES CLAVET,47300,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801184235,LADY SECRET'S,6 AV DE LA RESISTANCE,77500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801334467,MAISON PERE,1 RUE DU MARCHE ST HONORE,75001,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
520235987,LES COP'S,RUE DU BOSQUIEL,59910,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801397175,MAZEL,57 AV DE FONTAINEBLEAU,94270,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801390444,THE FASHION HOUSE,22 RUE HENRI IV,81100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801833682,BEAUTY SHOES,33 RUE MONTOLIEU,13002,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801271412,TURQUOISE FIL ST NAZAIRE,LA VIGNETTE,44850,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801207770,PHARELL'S COUTURE,36 RUE THIERS,78200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
801186909,BM SPORT SARLAT,RTE DU LOT,24200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804273134,SUPERANGE,RUE DE LA TERRE ADELIE,35760,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804644052,JUST DA ONE,22 RUE LOUIS CONSTANT FLEMING,97150,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804410298,DM SERVICE TRADE SARL,12 AV BOYER,06500,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804674620,ALESSANDRA NESS,181 AV DE VERSAILLES,75016,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
804874592,AU COMPTOIR DES MARQUES,24 RUE DE LA PAIX,97220,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
802087700,MVP SPORTS,FRAY REDON,83136,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803008051,ORIGAMI LAB,135 RUE D ANTIBES,06400,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803106301,TANIA D,2 RUE DU MARCHE,67210,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
802674036,DE NICOLA SRL,PIAZZA BUENOS AIRES 9,,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
802636894,FELAU,PL BELLEVUE,64200,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
803415082,ADNA,19 RUE DE LA ROE,49100,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles"
