siren,nom,adress_siege,code_postal_siege,code_NAF,activité
311639942,LES CAVES DE LANDIRAS LOUIS ESCHENAUER,RTE DE BALIZAC,33720,11.02B,Fabrication de boissons
380931667,,GRAND SORILLON,33230,11.02B,Fabrication de boissons
326396256,CHATEAU MALROME SARL,46 AV DES TERNES,75017,11.02B,Fabrication de boissons
781957048,UNION PRODUCTEURS DU NORD FRONSADAIS,13 AV DE LA CAVE,33240,11.02B,Fabrication de boissons
781887195,COOPERATIVE DE VINIFICATION LA VIGNUNI,CISSAC,33250,11.02B,Fabrication de boissons
782003909,STE COOPER DE VINIFICATION,,33250,11.02B,Fabrication de boissons
586420069,SA SABOURIN FRERES,,33390,11.02B,Fabrication de boissons
781762604,CAVE D'AUBIE ESPESSAS,,33240,11.02B,Fabrication de boissons
781950407,SC AGRICOLE GROUPE DE PRODUCTEURS,LA TOUR MONT D'OR,33570,11.02B,Fabrication de boissons
812733129,SCV SAUTERNES VIGNERONS,MAIRIE,33210,11.02B,Fabrication de boissons
503267957,UNION DES CAVES DU BOURGEAIS ET DU BLAYAIS ALLIANCE COTES EN BORDEAUX,LA CAFOURCHE,33860,11.02B,Fabrication de boissons
781935523,CAVE COOP VINICOLE INTERCOM DE LUGON,6 RUE LOUIS PASTEUR,33240,11.02B,Fabrication de boissons
352799100,LE CELLIER DU GRAND CORBIERES,19 QUAI DE BACALAN,33300,11.02B,Fabrication de boissons
781897210,SOC COOP AGRICOLE JUILLAC ET FLAUJAGUES,LES GUINOTS,33350,11.02B,Fabrication de boissons
531130110,,7 LD LABAT,33112,11.02B,Fabrication de boissons
781891064,SOC COOP AGR VITICULTEURS DU FORT MEDOC,105 AV DU HAUT MEDOC,33460,11.02B,Fabrication de boissons
819311283,CLERET AGRI VITI,3 LD MARQUEY NORD,33330,11.02B,Fabrication de boissons
781982673,CAVE COOPER INTERCOMMUNALE ROY GALANT,7 GRAND CHEMIN,33230,11.02B,Fabrication de boissons
